course_id,Course Name,platform,domain,level,rating,enrollments,duration_hours,language,price,prerequisites
C0000064,Cloud Computing Fundamentals using TensorFlow,edX,Cloud Computing,Advanced,4.3,9024,41,Hindi,80.6,Linear Algebra
C0000065,Advanced Big Data Concepts,Skillshare,Big Data,Intermediate,4.43,48942,46,English,48.07,None
C0000066,Advanced Data Science Concepts,edX,Data Science,Beginner,4.65,9319,98,English,67.98,None
C0000067,Cloud Computing Project-Based Bootcamp,FutureLearn,Cloud Computing,Intermediate,4.53,38719,65,Hindi,17.68,None
C0000068,AI for Everyone,Coursera,AI,Beginner,3.67,31706,14,French,66.94,Linear Algebra
C0000069,Advanced Big Data Concepts,edX,Big Data,Intermediate,3.7,28840,34,Hindi,56.64,Linear Algebra
C0000070,Web Development for Everyone,FutureLearn,Web Development,Intermediate,4.27,21261,28,French,60.2,Python Basics
C0000071,Complete Guide to Blockchain,Udemy,Blockchain,Beginner,4.72,17819,46,Spanish,82.55,None
C0000072,AI Project-Based Bootcamp,FutureLearn,AI,Beginner,4.84,12575,24,Hindi,79.4,Basic Programming
C0000073,Cybersecurity Fundamentals using R,Skillshare,Cybersecurity,Beginner,3.76,11260,24,French,92.11,Linear Algebra
C0000074,Complete Guide to Data Science,Coursera,Data Science,Beginner,4.13,24788,95,English,6.82,None
C0000075,AI Project-Based Bootcamp,Skillshare,AI,Intermediate,4.57,4786,47,Hindi,5.67,None
C0000076,Mastering AI using R,Coursera,AI,Advanced,3.84,21654,30,French,77.32,Statistics
C0000077,Complete Guide to Data Science,FutureLearn,Data Science,Advanced,4.01,39110,100,Spanish,35.61,Basic Programming
C0000078,Data Science for Everyone,FutureLearn,Data Science,Advanced,4.12,18239,15,Hindi,26.43,None
C0000079,Mastering Data Science using R,Udemy,Data Science,Advanced,4.73,1188,47,Spanish,58.73,Linear Algebra
C0000080,Crash Course in Blockchain,NPTEL,Blockchain,Beginner,4.69,3743,39,French,93.11,None
C0000081,AI Hands-on Workshop,Coursera,AI,Beginner,4.68,45030,11,Spanish,21.92,Basic Programming
C0000082,Data Science Hands-on Workshop,edX,Data Science,Beginner,4.12,32282,8,English,25.01,None
C0000083,Complete Guide to Big Data,edX,Big Data,Beginner,4.99,47816,67,French,29.98,Linear Algebra
C0000084,Mastering Cloud Computing from Scratch,FutureLearn,Cloud Computing,Intermediate,4.51,23143,9,French,25.93,Python Basics
C0000085,Advanced Cybersecurity Concepts,Udemy,Cybersecurity,Advanced,3.91,28293,36,English,34.48,Basic Programming
C0000086,AI for Everyone,NPTEL,AI,Intermediate,4.85,3505,26,Hindi,20.82,Linear Algebra
C0000087,Crash Course in Cloud Computing,NPTEL,Cloud Computing,Intermediate,4.15,26083,41,English,40.54,Python Basics
C0000088,Crash Course in Big Data,FutureLearn,Big Data,Beginner,4.7,14286,90,Spanish,17.29,Linear Algebra
C0000089,Complete Guide to Big Data,Coursera,Big Data,Advanced,3.92,28070,36,French,63.73,None
C0000090,Cloud Computing for Everyone,Udemy,Cloud Computing,Intermediate,4.28,7476,6,Hindi,97.95,Linear Algebra
C0000091,Big Data Hands-on Workshop,NPTEL,Big Data,Beginner,4.88,42657,50,French,14.01,Python Basics
C0000092,Blockchain Fundamentals Masterclass,edX,Blockchain,Beginner,4.9,39293,83,English,6.07,None
C0000093,Data Science Fundamentals Masterclass,edX,Data Science,Beginner,3.76,36963,5,French,78.55,Statistics
C0000094,Complete Guide to Cloud Computing,Udemy,Cloud Computing,Intermediate,4.09,23607,75,French,41.86,None
C0000095,Data Science Project-Based Bootcamp,FutureLearn,Data Science,Advanced,4.15,12638,15,French,25.64,None
C0000096,Cloud Computing for Everyone,Coursera,Cloud Computing,Beginner,4.41,15337,23,English,27.2,None
C0000097,AI Fundamentals with Python,NPTEL,AI,Intermediate,4.25,22072,84,Spanish,70.36,Linear Algebra
C0000098,Cybersecurity Hands-on Workshop,FutureLearn,Cybersecurity,Beginner,3.62,47215,35,Spanish,91.43,Statistics
C0000099,Mastering Web Development Masterclass,Skillshare,Web Development,Intermediate,4.02,43446,74,French,41.25,Linear Algebra
C0000100,Crash Course in AI,NPTEL,AI,Beginner,3.98,7274,38,Hindi,98.28,Statistics
C0000101,Data Science for Everyone,Udemy,Data Science,Intermediate,4.66,45661,75,French,64.25,Linear Algebra
C0000102,Blockchain Project-Based Bootcamp,edX,Blockchain,Intermediate,4.22,460,48,Hindi,88.31,None
C0000103,Crash Course in Cybersecurity,NPTEL,Cybersecurity,Beginner,3.52,15083,34,English,94,None
C0000104,Big Data for Everyone,NPTEL,Big Data,Intermediate,3.9,43859,77,Hindi,52.48,Basic Programming
C0000105,Mastering Machine Learning using R,NPTEL,Machine Learning,Beginner,3.5,48139,20,English,15.5,Python Basics
C0000106,Big Data for Everyone,Udemy,Big Data,Intermediate,4.91,35840,17,English,71.74,Basic Programming
C0000107,Cloud Computing for Everyone,Skillshare,Cloud Computing,Intermediate,4.22,9933,25,English,72.23,Statistics
C0000108,Web Development Fundamentals with Python,Udemy,Web Development,Beginner,3.76,19820,29,French,57.63,Statistics
C0000109,Mastering Cybersecurity with Spark,Skillshare,Cybersecurity,Advanced,4.72,38946,28,English,42.19,Linear Algebra
C0000110,Crash Course in Data Science,edX,Data Science,Beginner,3.55,2802,68,French,43.25,Python Basics
C0000111,Advanced Data Science Concepts,Skillshare,Data Science,Intermediate,4.13,9923,95,English,71.23,Linear Algebra
C0000112,Machine Learning for Everyone,edX,Machine Learning,Beginner,4.05,31105,62,French,44.2,Basic Programming
C0000113,AI Hands-on Workshop,NPTEL,AI,Advanced,4.58,7778,86,French,9.88,Python Basics
C0000114,Mastering Big Data Bootcamp,edX,Big Data,Advanced,3.62,8066,36,English,41.16,Statistics
C0000115,Mastering Web Development Essentials,FutureLearn,Web Development,Advanced,3.74,8778,98,Hindi,27.21,Python Basics
C0000116,Mastering Cloud Computing with Python,Skillshare,Cloud Computing,Intermediate,4.21,47531,72,French,10.83,Python Basics
C0000117,Complete Guide to Machine Learning,Coursera,Machine Learning,Advanced,4.73,38565,11,Spanish,2.38,Statistics
C0000118,Advanced Web Development Concepts,Coursera,Web Development,Intermediate,4.37,16688,9,Hindi,22.09,Linear Algebra
C0000119,Cybersecurity Project-Based Bootcamp,Skillshare,Cybersecurity,Advanced,4.04,20195,56,English,45.03,None
C0000120,Machine Learning Project-Based Bootcamp,Udemy,Machine Learning,Advanced,4.81,2497,96,Hindi,18.07,Basic Programming
C0000121,Advanced Data Science Concepts,FutureLearn,Data Science,Advanced,3.91,47298,95,English,91.41,None
C0000122,Crash Course in Data Science,Coursera,Data Science,Beginner,4.31,20194,14,French,38.7,None
C0000123,Crash Course in Data Science,Udemy,Data Science,Advanced,4.52,44747,51,Hindi,4.64,Basic Programming
C0000124,Crash Course in Big Data,NPTEL,Big Data,Intermediate,4.4,13669,63,French,27.14,None
C0000125,Machine Learning Project-Based Bootcamp,Coursera,Machine Learning,Intermediate,4.3,20803,82,Hindi,97.22,Basic Programming
C0000126,Blockchain Hands-on Workshop,Skillshare,Blockchain,Advanced,3.84,9269,42,Spanish,30.82,Python Basics
C0000127,Advanced Cybersecurity Concepts,Skillshare,Cybersecurity,Advanced,3.87,5110,17,French,32.35,Basic Programming
C0000128,Blockchain Fundamentals Bootcamp,edX,Blockchain,Intermediate,4.2,25343,99,French,14.29,Statistics
C0000129,Data Science Fundamentals with Python,Udemy,Data Science,Beginner,4.68,17217,78,French,71.09,Statistics
C0000130,Cybersecurity for Everyone,Coursera,Cybersecurity,Advanced,3.92,12472,65,English,77,Statistics
C0000131,Blockchain Project-Based Bootcamp,NPTEL,Blockchain,Intermediate,4.86,34565,6,Spanish,36.35,Python Basics
C0000132,Mastering Big Data Essentials,FutureLearn,Big Data,Beginner,4.84,37414,58,French,5.18,None
C0000133,Web Development Project-Based Bootcamp,NPTEL,Web Development,Intermediate,4.08,31258,100,English,48.37,Linear Algebra
C0000134,Web Development for Everyone,NPTEL,Web Development,Beginner,4.35,44160,99,French,2.69,Linear Algebra
C0000135,Blockchain Project-Based Bootcamp,FutureLearn,Blockchain,Advanced,3.94,15973,82,Spanish,56.64,Statistics
C0000136,Complete Guide to Machine Learning,Coursera,Machine Learning,Intermediate,4.7,10843,47,Hindi,9.36,None
C0000137,Cybersecurity Project-Based Bootcamp,NPTEL,Cybersecurity,Beginner,3.6,42650,41,Hindi,27.28,None
C0000138,Advanced Machine Learning Concepts,FutureLearn,Machine Learning,Intermediate,3.82,28986,72,Hindi,20.1,Basic Programming
C0000139,Data Science for Everyone,FutureLearn,Data Science,Beginner,3.75,25789,9,Hindi,68.76,Linear Algebra
C0000140,Mastering Machine Learning Masterclass,NPTEL,Machine Learning,Advanced,4.65,9413,68,English,47.51,None
C0000141,Data Science Fundamentals from Scratch,Udemy,Data Science,Beginner,3.7,44375,57,French,18.95,Python Basics
C0000142,Advanced AI Concepts,edX,AI,Beginner,4.34,21710,45,Hindi,74.22,Basic Programming
C0000143,Machine Learning Project-Based Bootcamp,edX,Machine Learning,Beginner,4.67,47647,27,Spanish,44.54,None
C0000144,Web Development for Everyone,edX,Web Development,Advanced,4.05,44749,93,French,26.05,Linear Algebra
C0000145,Advanced Web Development Concepts,Udemy,Web Development,Intermediate,4.18,3274,12,Spanish,66.47,Statistics
C0000146,Advanced Cloud Computing Concepts,Coursera,Cloud Computing,Intermediate,3.95,3457,88,French,57.34,Statistics
C0000147,Complete Guide to Web Development,FutureLearn,Web Development,Intermediate,4.82,28606,44,French,21.95,None
C0000148,Blockchain for Everyone,NPTEL,Blockchain,Intermediate,4.13,43083,59,English,97.05,Linear Algebra
C0000149,Mastering Web Development from Scratch,FutureLearn,Web Development,Intermediate,3.96,17875,87,Spanish,71.68,Python Basics
C0000150,Machine Learning Fundamentals Masterclass,Coursera,Machine Learning,Advanced,4.71,17476,67,Spanish,95.03,Python Basics
C0000151,Crash Course in Blockchain,edX,Blockchain,Intermediate,4.58,37889,39,Hindi,21.78,None
C0000152,Blockchain Project-Based Bootcamp,Udemy,Blockchain,Advanced,4.17,2002,58,French,78.26,Basic Programming
C0000153,Advanced Big Data Concepts,edX,Big Data,Advanced,3.78,46559,34,English,47.76,Basic Programming
C0000154,Web Development for Everyone,Skillshare,Web Development,Beginner,3.85,49315,76,English,0.18,Statistics
C0000155,Mastering Cybersecurity with Python,edX,Cybersecurity,Advanced,3.77,49147,57,Spanish,10.48,Statistics
C0000156,Machine Learning Fundamentals Bootcamp,Udemy,Machine Learning,Beginner,4.36,49046,8,Hindi,88.77,None
C0000157,Data Science Fundamentals Bootcamp,Udemy,Data Science,Advanced,3.95,35245,13,Spanish,45.43,Linear Algebra
C0000158,Cybersecurity for Everyone,Skillshare,Cybersecurity,Beginner,4.28,28777,7,Spanish,29.92,Basic Programming
C0000159,Advanced Blockchain Concepts,edX,Blockchain,Beginner,4.72,5738,56,English,24.92,Linear Algebra
C0000160,Cloud Computing Fundamentals with Spark,Udemy,Cloud Computing,Advanced,3.9,25191,61,Spanish,4.21,Basic Programming
C0000161,Blockchain for Everyone,Coursera,Blockchain,Advanced,4.33,39699,33,Hindi,33.71,Basic Programming
C0000162,Machine Learning Hands-on Workshop,Skillshare,Machine Learning,Beginner,4.19,32494,78,French,24.33,Python Basics
C0000163,Mastering Cybersecurity using TensorFlow,FutureLearn,Cybersecurity,Beginner,4.65,40650,34,French,94.45,Basic Programming
C0000164,Crash Course in Big Data,FutureLearn,Big Data,Intermediate,4.12,31205,6,Hindi,71.48,Basic Programming
C0000165,AI Project-Based Bootcamp,NPTEL,AI,Intermediate,4.51,22752,100,Hindi,20.46,None
C0000166,Web Development for Everyone,edX,Web Development,Advanced,3.71,25409,36,English,59.66,Python Basics
C0000167,Data Science Project-Based Bootcamp,FutureLearn,Data Science,Beginner,4.28,17346,12,Spanish,83.34,Python Basics
C0000168,Cybersecurity Fundamentals with Spark,FutureLearn,Cybersecurity,Advanced,3.6,36304,31,French,89.47,None
C0000169,Complete Guide to Web Development,Skillshare,Web Development,Beginner,4.29,44537,30,French,77,Basic Programming
C0000170,Crash Course in Blockchain,Coursera,Blockchain,Intermediate,4.08,29795,47,Hindi,94.05,Statistics
C0000171,AI Hands-on Workshop,Coursera,AI,Beginner,3.69,48692,53,Spanish,37.75,Statistics
C0000172,AI Fundamentals with Python,Coursera,AI,Beginner,3.61,27824,99,Hindi,25.4,Linear Algebra
C0000173,Crash Course in Blockchain,NPTEL,Blockchain,Intermediate,4.28,28470,74,Hindi,54.09,Python Basics
C0000174,Machine Learning Fundamentals Bootcamp,FutureLearn,Machine Learning,Beginner,4.67,43739,97,English,68.14,None
C0000175,Mastering Cloud Computing from Scratch,Udemy,Cloud Computing,Advanced,3.59,37160,8,Hindi,40.97,None
C0000176,Web Development Hands-on Workshop,FutureLearn,Web Development,Beginner,4.42,35962,62,Spanish,70.28,Linear Algebra
C0000177,Cloud Computing Fundamentals Essentials,Udemy,Cloud Computing,Intermediate,4.92,28751,11,Hindi,61.55,Statistics
C0000178,Cybersecurity Project-Based Bootcamp,edX,Cybersecurity,Beginner,4.55,19003,47,English,38.41,None
C0000179,Complete Guide to Data Science,edX,Data Science,Advanced,3.92,49856,99,Spanish,80.5,None
C0000180,Mastering Machine Learning with Spark,FutureLearn,Machine Learning,Beginner,4.08,13772,5,French,3.18,Basic Programming
C0000181,Machine Learning Project-Based Bootcamp,Coursera,Machine Learning,Advanced,4.52,1129,11,French,86.54,Linear Algebra
C0000182,Advanced Cybersecurity Concepts,FutureLearn,Cybersecurity,Beginner,4.09,25613,45,French,36.15,Basic Programming
C0000183,Complete Guide to Web Development,Coursera,Web Development,Intermediate,4.26,48175,90,Spanish,55.41,None
C0000184,Blockchain Fundamentals using R,Skillshare,Blockchain,Beginner,4.51,5128,49,Hindi,47.95,None
C0000185,Complete Guide to AI,Udemy,AI,Advanced,4.88,21375,43,Hindi,87.95,Basic Programming
C0000186,Web Development for Everyone,edX,Web Development,Beginner,3.77,28186,92,English,34.65,None
C0000187,Machine Learning Project-Based Bootcamp,Coursera,Machine Learning,Intermediate,4.82,40003,60,English,51.9,None
C0000188,Cybersecurity Project-Based Bootcamp,Udemy,Cybersecurity,Advanced,4.85,33653,54,French,83.31,None
C0000189,Crash Course in Blockchain,Skillshare,Blockchain,Intermediate,4.85,2727,56,English,29.89,Python Basics
C0000190,Web Development Hands-on Workshop,FutureLearn,Web Development,Intermediate,3.87,21906,74,English,21.46,Python Basics
C0000191,Complete Guide to Cybersecurity,Udemy,Cybersecurity,Advanced,4.89,32234,86,French,40.64,Python Basics
C0000192,Advanced AI Concepts,NPTEL,AI,Intermediate,4.82,36360,87,French,34.43,Basic Programming
C0000193,Big Data Fundamentals Masterclass,NPTEL,Big Data,Intermediate,3.72,16991,54,French,24.62,Basic Programming
C0000194,Crash Course in Cybersecurity,Udemy,Cybersecurity,Intermediate,3.62,25077,55,Spanish,24.7,Basic Programming
C0000195,Data Science Project-Based Bootcamp,Udemy,Data Science,Beginner,4.33,28358,83,Hindi,96.56,Statistics
C0000196,AI Hands-on Workshop,NPTEL,AI,Advanced,3.77,4849,82,Spanish,73.21,Statistics
C0000197,Data Science Fundamentals from Scratch,Udemy,Data Science,Advanced,4.01,46885,18,Spanish,99.25,Linear Algebra
C0000198,Machine Learning Hands-on Workshop,Udemy,Machine Learning,Intermediate,4.04,10906,97,English,30.15,Basic Programming
C0000199,AI Fundamentals using TensorFlow,FutureLearn,AI,Advanced,3.77,19565,67,French,4.89,None
C0000200,Cloud Computing Hands-on Workshop,edX,Cloud Computing,Beginner,4.87,6341,98,English,71.69,Linear Algebra
C0000201,Mastering Big Data Masterclass,NPTEL,Big Data,Beginner,3.53,31565,44,French,48.09,Basic Programming
C0000202,Mastering Blockchain with Spark,FutureLearn,Blockchain,Beginner,3.95,8339,5,French,68.39,Python Basics
C0000203,Web Development for Everyone,FutureLearn,Web Development,Intermediate,4.04,20020,70,Spanish,31.65,None
C0000204,Advanced AI Concepts,Udemy,AI,Intermediate,4.86,33250,26,Hindi,72.29,Linear Algebra
C0000205,Big Data Fundamentals using R,edX,Big Data,Beginner,4.56,28503,68,English,52.11,Linear Algebra
C0000206,Big Data Hands-on Workshop,Coursera,Big Data,Intermediate,4.99,12379,21,French,96.2,Linear Algebra
C0000207,Advanced Blockchain Concepts,edX,Blockchain,Beginner,4.84,22794,8,English,8.37,Statistics
C0000208,Mastering Big Data from Scratch,FutureLearn,Big Data,Beginner,3.97,31512,72,Hindi,75.81,Basic Programming
C0000209,Advanced Web Development Concepts,Coursera,Web Development,Beginner,4.01,21638,15,French,44.98,Python Basics
C0000210,Data Science Fundamentals using R,Udemy,Data Science,Intermediate,4.69,49120,41,Hindi,35.51,None
C0000211,Big Data for Everyone,NPTEL,Big Data,Advanced,4.34,37370,63,English,62.2,Linear Algebra
C0000212,Mastering Web Development with Spark,FutureLearn,Web Development,Advanced,4.07,20760,12,French,40.02,None
C0000213,AI Project-Based Bootcamp,FutureLearn,AI,Intermediate,4.46,27815,91,Hindi,38.53,None
C0000214,Mastering AI using TensorFlow,Skillshare,AI,Advanced,3.79,6441,26,Spanish,76.06,Statistics
C0000215,AI Hands-on Workshop,Udemy,AI,Beginner,4.65,21878,13,Hindi,22.34,Python Basics
C0000216,Big Data Project-Based Bootcamp,Udemy,Big Data,Beginner,3.73,7212,59,Hindi,89.64,None
C0000217,Advanced Machine Learning Concepts,FutureLearn,Machine Learning,Advanced,4.17,27647,50,Hindi,33.68,None
C0000218,AI for Everyone,edX,AI,Beginner,4.64,49489,98,Hindi,64.39,Statistics
C0000219,Mastering AI Masterclass,edX,AI,Intermediate,4.41,32192,72,Spanish,18.1,Basic Programming
C0000220,Blockchain for Everyone,Coursera,Blockchain,Beginner,4,21579,62,French,45.31,Statistics
C0000221,Complete Guide to Blockchain,edX,Blockchain,Advanced,3.93,27124,90,Spanish,23.25,None
C0000222,Mastering Blockchain using TensorFlow,FutureLearn,Blockchain,Advanced,4.61,5309,46,French,29.12,Statistics
C0000223,Cybersecurity Project-Based Bootcamp,edX,Cybersecurity,Advanced,4.35,3679,72,Spanish,55.45,None
C0000224,Mastering Machine Learning Masterclass,Coursera,Machine Learning,Beginner,4.68,5719,11,English,43.99,Python Basics
C0000225,Big Data Project-Based Bootcamp,Udemy,Big Data,Beginner,4.14,25202,59,Hindi,23.19,Python Basics
C0000226,Crash Course in Data Science,Udemy,Data Science,Beginner,4.19,48274,57,Hindi,57.51,Basic Programming
C0000227,Web Development Project-Based Bootcamp,Udemy,Web Development,Advanced,4.33,19180,7,Hindi,9.07,Python Basics
C0000228,Crash Course in Blockchain,NPTEL,Blockchain,Advanced,4.18,3317,100,Hindi,97.92,Statistics
C0000229,Blockchain Fundamentals using R,edX,Blockchain,Intermediate,4.18,5168,32,Hindi,25.04,Statistics
C0000230,Blockchain Project-Based Bootcamp,NPTEL,Blockchain,Beginner,4.05,22046,13,English,84.19,None
C0000231,Big Data Hands-on Workshop,NPTEL,Big Data,Intermediate,4.88,9509,99,French,85.47,Statistics
C0000232,Cloud Computing Hands-on Workshop,Coursera,Cloud Computing,Intermediate,4.78,11253,85,Hindi,65.97,None
C0000233,Crash Course in Blockchain,FutureLearn,Blockchain,Advanced,4.45,18906,72,English,27.87,Basic Programming
C0000234,Big Data for Everyone,Skillshare,Big Data,Beginner,4.18,37252,5,English,1.13,Linear Algebra
C0000235,AI for Everyone,Udemy,AI,Advanced,3.52,28893,63,English,36.09,Linear Algebra
C0000236,Crash Course in Blockchain,Udemy,Blockchain,Advanced,3.89,34136,11,Spanish,32.3,Python Basics
C0000237,Web Development for Everyone,NPTEL,Web Development,Intermediate,4.8,35391,5,Spanish,16.57,Statistics
C0000238,Advanced Data Science Concepts,Coursera,Data Science,Advanced,3.69,36537,79,Spanish,52.4,Linear Algebra
C0000239,Advanced Cloud Computing Concepts,Udemy,Cloud Computing,Beginner,3.63,41458,23,English,84.09,Basic Programming
C0000240,Blockchain Project-Based Bootcamp,Skillshare,Blockchain,Beginner,3.74,12071,28,Hindi,5.33,Statistics
C0000241,Mastering Cybersecurity using TensorFlow,Coursera,Cybersecurity,Beginner,4.21,975,54,English,57.7,Python Basics
C0000242,Complete Guide to Cloud Computing,Coursera,Cloud Computing,Beginner,3.99,11605,22,Spanish,96.3,None
C0000243,Crash Course in AI,Coursera,AI,Intermediate,4.75,34583,85,French,64.6,Linear Algebra
C0000244,Cybersecurity Hands-on Workshop,Udemy,Cybersecurity,Advanced,3.86,34791,29,Spanish,66.33,Basic Programming
